timestamp,tail,owner,airport,airport_name,leg
2025-11-21,N757AF,Donald Trump,PBI,Palm Beach International Airport,departure
2025-11-21,N757AF,Donald Trump,ADW,Andrews Air Force Base Airport,arrival
2025-11-18,N757AF,Donald Trump,FMY,Page Field Airport,departure
2025-11-18,N757AF,Donald Trump,PBI,Palm Beach International Airport,arrival
2025-11-18,N757AF,Donald Trump,PBI,Palm Beach International Airport,departure
2025-11-18,N757AF,Donald Trump,FMY,Page Field Airport,arrival
2025-11-06,N757AF,Donald Trump,FLL,Fort Lauderdale Hollywood International Airport,departure
2025-11-06,N757AF,Donald Trump,PBI,Palm Beach International Airport,arrival
2025-11-05,N757AF,Donald Trump,DCA,Ronald Reagan Washington National Airport,departure
2025-11-05,N757AF,Donald Trump,TOI,Troy Municipal Airport,arrival
2025-11-04,N757AF,Donald Trump,IAD,Washington Dulles International Airport,departure
2025-11-04,N757AF,Donald Trump,DCA,Ronald Reagan Washington National Airport,arrival
2025-11-04,N757AF,Donald Trump,PBI,Palm Beach International Airport,departure
2025-11-04,N757AF,Donald Trump,IAD,Washington Dulles International Airport,arrival
2025-10-29,N757AF,Donald Trump,RIC,Richmond International Airport,departure
2025-10-29,N757AF,Donald Trump,PBI,Palm Beach International Airport,arrival
2025-10-28,N757AF,Donald Trump,PBI,Palm Beach International Airport,departure
2025-10-28,N757AF,Donald Trump,RIC,Richmond International Airport,arrival
2025-10-20,N757AF,Donald Trump,HHR,Jack Northrop Field Hawthorne Municipal Airport,departure
2025-10-20,N757AF,Donald Trump,PBI,Palm Beach International Airport,arrival
2025-10-18,N757AF,Donald Trump,LGA,La Guardia Airport,departure
2025-10-18,N757AF,Donald Trump,HHR,Jack Northrop Field Hawthorne Municipal Airport,arrival
2025-10-13,N757AF,Donald Trump,DCA,Ronald Reagan Washington National Airport,departure
2025-10-13,N757AF,Donald Trump,LGA,La Guardia Airport,arrival
2025-10-13,N757AF,Donald Trump,PBI,Palm Beach International Airport,departure
2025-10-13,N757AF,Donald Trump,DCA,Ronald Reagan Washington National Airport,arrival
2025-09-22,N757AF,Donald Trump,PHX,Phoenix Sky Harbor International Airport,departure
2025-09-22,N757AF,Donald Trump,PBI,Palm Beach International Airport,arrival
2025-09-21,N757AF,Donald Trump,PBI,Palm Beach International Airport,departure
2025-09-21,N757AF,Donald Trump,PHX,Phoenix Sky Harbor International Airport,arrival
2025-09-19,N757AF,Donald Trump,LGA,La Guardia Airport,departure
2025-09-19,N757AF,Donald Trump,PBI,Palm Beach International Airport,arrival
2025-09-15,N757AF,Donald Trump,PBI,Palm Beach International Airport,departure
2025-09-15,N757AF,Donald Trump,LGA,La Guardia Airport,arrival
2025-09-14,N757AF,Donald Trump,ORL,Orlando Executive Airport,departure
2025-09-14,N757AF,Donald Trump,PTK,Oakland County International Airport,arrival
2025-09-13,N757AF,Donald Trump,PIK,Prestwick Airport,departure
2025-09-13,N757AF,Donald Trump,ILM,Wilmington International Airport,arrival
2025-08-10,N757AF,Donald Trump,LGA,La Guardia Airport,departure
2025-08-10,N757AF,Donald Trump,PBI,Palm Beach International Airport,arrival
2025-08-10,N757AF,Donald Trump,PBI,Palm Beach International Airport,departure
2025-08-10,N757AF,Donald Trump,LGA,La Guardia Airport,arrival
2025-07-30,N757AF,Donald Trump,LGA,La Guardia Airport,departure
2025-07-30,N757AF,Donald Trump,PBI,Palm Beach International Airport,arrival
2025-07-30,N757AF,Donald Trump,LSI,Sumburgh Airport,departure
2025-07-30,N757AF,Donald Trump,LGA,La Guardia Airport,arrival
2025-07-29,N757AF,Donald Trump,PIK,Prestwick Airport,departure
2025-07-29,N757AF,Donald Trump,LSI,Sumburgh Airport,arrival
2025-07-25,N757AF,Donald Trump,LGA,La Guardia Airport,departure
2025-07-25,N757AF,Donald Trump,PIK,Prestwick Airport,arrival
2025-07-23,N757AF,Donald Trump,PBI,Palm Beach International Airport,departure
2025-07-23,N757AF,Donald Trump,LGA,La Guardia Airport,arrival
2025-07-22,N757AF,Donald Trump,LCH,Lake Charles Regional Airport,departure
2025-07-22,N757AF,Donald Trump,PBI,Palm Beach International Airport,arrival
2025-04-01,N757AF,Donald Trump,PBI,Palm Beach International Airport,departure
2025-04-01,N757AF,Donald Trump,LCH,Lake Charles Regional Airport,arrival
2025-03-30,N757AF,Donald Trump,LGA,La Guardia Airport,departure
2025-03-30,N757AF,Donald Trump,PBI,Palm Beach International Airport,arrival
2025-03-30,N757AF,Donald Trump,PBI,Palm Beach International Airport,departure
2025-03-30,N757AF,Donald Trump,LGA,La Guardia Airport,arrival
2025-03-29,N757AF,Donald Trump,EGE,Eagle County Regional Airport,departure
2025-03-29,N757AF,Donald Trump,PBI,Palm Beach International Airport,arrival
2025-03-29,N757AF,Donald Trump,CYS,Cheyenne Airport,departure
2025-03-29,N757AF,Donald Trump,EGE,Eagle County Regional Airport,arrival
2025-03-22,N757AF,Donald Trump,EGE,Eagle County Regional Airport,departure
2025-03-22,N757AF,Donald Trump,CYS,Cheyenne Airport,arrival
2025-03-22,N757AF,Donald Trump,PBI,Palm Beach International Airport,departure
2025-03-22,N757AF,Donald Trump,EGE,Eagle County Regional Airport,arrival
2025-03-20,N757AF,Donald Trump,LGA,La Guardia Airport,departure
2025-03-20,N757AF,Donald Trump,PBI,Palm Beach International Airport,arrival
2025-03-20,N757AF,Donald Trump,PBI,Palm Beach International Airport,departure
2025-03-20,N757AF,Donald Trump,LGA,La Guardia Airport,arrival
