timestamp,tail,owner,airport,airport_name,lat,lon,leg
2025-11-21,N757AF,Donald Trump,PBI,Palm Beach International,26.68316194,-80.09559417,departure
2025-11-21,N757AF,Donald Trump,ADW,Andrews Air Force Base Airport,0.0,0.0,arrival
2025-11-18,N757AF,Donald Trump,FMY,Page,26.58661111,-81.86325,departure
2025-11-18,N757AF,Donald Trump,PBI,Palm Beach International,26.68316194,-80.09559417,arrival
2025-11-18,N757AF,Donald Trump,PBI,Palm Beach International,26.68316194,-80.09559417,departure
2025-11-18,N757AF,Donald Trump,FMY,Page,26.58661111,-81.86325,arrival
2025-11-06,N757AF,Donald Trump,FLL,Fort Lauderdale-Hollywood Int'l,26.07258333,-80.15275,departure
2025-11-06,N757AF,Donald Trump,PBI,Palm Beach International,26.68316194,-80.09559417,arrival
2025-11-05,N757AF,Donald Trump,DCA,Ronald Reagan Washington National,38.85208333,-77.03772222,departure
2025-11-05,N757AF,Donald Trump,TOI,Troy Municipal,31.86041667,-86.01213889,arrival
2025-11-04,N757AF,Donald Trump,IAD,Washington Dulles International,38.94453194,-77.45580972,departure
2025-11-04,N757AF,Donald Trump,DCA,Ronald Reagan Washington National,38.85208333,-77.03772222,arrival
2025-11-04,N757AF,Donald Trump,PBI,Palm Beach International,26.68316194,-80.09559417,departure
2025-11-04,N757AF,Donald Trump,IAD,Washington Dulles International,38.94453194,-77.45580972,arrival
2025-10-29,N757AF,Donald Trump,RIC,Richmond International,37.50516667,-77.31966667,departure
2025-10-29,N757AF,Donald Trump,PBI,Palm Beach International,26.68316194,-80.09559417,arrival
2025-10-28,N757AF,Donald Trump,PBI,Palm Beach International,26.68316194,-80.09559417,departure
2025-10-28,N757AF,Donald Trump,RIC,Richmond International,37.50516667,-77.31966667,arrival
2025-10-20,N757AF,Donald Trump,HHR,Jack Northrop Field/Hawthorne Municipal,33.92283972,-118.3351872,departure
2025-10-20,N757AF,Donald Trump,PBI,Palm Beach International,26.68316194,-80.09559417,arrival
2025-10-18,N757AF,Donald Trump,LGA,LaGuardia,40.77724306,-73.87260917,departure
2025-10-18,N757AF,Donald Trump,HHR,Jack Northrop Field/Hawthorne Municipal,33.92283972,-118.3351872,arrival
2025-10-13,N757AF,Donald Trump,DCA,Ronald Reagan Washington National,38.85208333,-77.03772222,departure
2025-10-13,N757AF,Donald Trump,LGA,LaGuardia,40.77724306,-73.87260917,arrival
2025-10-13,N757AF,Donald Trump,PBI,Palm Beach International,26.68316194,-80.09559417,departure
2025-10-13,N757AF,Donald Trump,DCA,Ronald Reagan Washington National,38.85208333,-77.03772222,arrival
2025-09-22,N757AF,Donald Trump,PHX,Phoenix Sky Harbor International,33.43416667,-112.0080556,departure
2025-09-22,N757AF,Donald Trump,PBI,Palm Beach International,26.68316194,-80.09559417,arrival
2025-09-21,N757AF,Donald Trump,PBI,Palm Beach International,26.68316194,-80.09559417,departure
2025-09-21,N757AF,Donald Trump,PHX,Phoenix Sky Harbor International,33.43416667,-112.0080556,arrival
2025-09-19,N757AF,Donald Trump,LGA,LaGuardia,40.77724306,-73.87260917,departure
2025-09-19,N757AF,Donald Trump,PBI,Palm Beach International,26.68316194,-80.09559417,arrival
2025-09-15,N757AF,Donald Trump,PBI,Palm Beach International,26.68316194,-80.09559417,departure
2025-09-15,N757AF,Donald Trump,LGA,LaGuardia,40.77724306,-73.87260917,arrival
2025-09-14,N757AF,Donald Trump,ORL,Executive,28.54547222,-81.33294444,departure
2025-09-14,N757AF,Donald Trump,PTK,Oakland-Pontiac,42.66520389,-83.41870917,arrival
2025-09-13,N757AF,Donald Trump,PIK,Prestwick Airport,0.0,0.0,departure
2025-09-13,N757AF,Donald Trump,ILM,Wilmington International,34.27061111,-77.90255556,arrival
2025-08-10,N757AF,Donald Trump,LGA,LaGuardia,40.77724306,-73.87260917,departure
2025-08-10,N757AF,Donald Trump,PBI,Palm Beach International,26.68316194,-80.09559417,arrival
2025-08-10,N757AF,Donald Trump,PBI,Palm Beach International,26.68316194,-80.09559417,departure
2025-08-10,N757AF,Donald Trump,LGA,LaGuardia,40.77724306,-73.87260917,arrival
2025-07-30,N757AF,Donald Trump,LGA,LaGuardia,40.77724306,-73.87260917,departure
2025-07-30,N757AF,Donald Trump,PBI,Palm Beach International,26.68316194,-80.09559417,arrival
2025-07-30,N757AF,Donald Trump,LSI,Sumburgh Airport,0.0,0.0,departure
2025-07-30,N757AF,Donald Trump,LGA,LaGuardia,40.77724306,-73.87260917,arrival
2025-07-29,N757AF,Donald Trump,PIK,Prestwick Airport,0.0,0.0,departure
2025-07-29,N757AF,Donald Trump,LSI,Sumburgh Airport,0.0,0.0,arrival
2025-07-25,N757AF,Donald Trump,LGA,LaGuardia,40.77724306,-73.87260917,departure
2025-07-25,N757AF,Donald Trump,PIK,Prestwick Airport,0.0,0.0,arrival
2025-07-23,N757AF,Donald Trump,PBI,Palm Beach International,26.68316194,-80.09559417,departure
2025-07-23,N757AF,Donald Trump,LGA,LaGuardia,40.77724306,-73.87260917,arrival
2025-07-22,N757AF,Donald Trump,LCH,Lake Charles Regional,30.1260975,-93.22340361,departure
2025-07-22,N757AF,Donald Trump,PBI,Palm Beach International,26.68316194,-80.09559417,arrival
2025-04-01,N757AF,Donald Trump,PBI,Palm Beach International,26.68316194,-80.09559417,departure
2025-04-01,N757AF,Donald Trump,LCH,Lake Charles Regional,30.1260975,-93.22340361,arrival
2025-03-30,N757AF,Donald Trump,LGA,LaGuardia,40.77724306,-73.87260917,departure
2025-03-30,N757AF,Donald Trump,PBI,Palm Beach International,26.68316194,-80.09559417,arrival
2025-03-30,N757AF,Donald Trump,PBI,Palm Beach International,26.68316194,-80.09559417,departure
2025-03-30,N757AF,Donald Trump,LGA,LaGuardia,40.77724306,-73.87260917,arrival
2025-03-29,N757AF,Donald Trump,EGE,Eagle County Regional,39.64256778,-106.9176953,departure
2025-03-29,N757AF,Donald Trump,PBI,Palm Beach International,26.68316194,-80.09559417,arrival
2025-03-29,N757AF,Donald Trump,CYS,Cheyenne,41.1557225,-104.8118381,departure
2025-03-29,N757AF,Donald Trump,EGE,Eagle County Regional,39.64256778,-106.9176953,arrival
2025-03-22,N757AF,Donald Trump,EGE,Eagle County Regional,39.64256778,-106.9176953,departure
2025-03-22,N757AF,Donald Trump,CYS,Cheyenne,41.1557225,-104.8118381,arrival
2025-03-22,N757AF,Donald Trump,PBI,Palm Beach International,26.68316194,-80.09559417,departure
2025-03-22,N757AF,Donald Trump,EGE,Eagle County Regional,39.64256778,-106.9176953,arrival
2025-03-20,N757AF,Donald Trump,LGA,LaGuardia,40.77724306,-73.87260917,departure
2025-03-20,N757AF,Donald Trump,PBI,Palm Beach International,26.68316194,-80.09559417,arrival
2025-03-20,N757AF,Donald Trump,PBI,Palm Beach International,26.68316194,-80.09559417,departure
2025-03-20,N757AF,Donald Trump,LGA,LaGuardia,40.77724306,-73.87260917,arrival
2025-03-15,N757AF,Donald Trump,BGR,Bangor International,44.80744444,-68.82813889,departure
2025-03-15,N757AF,Donald Trump,PBI,Palm Beach International,26.68316194,-80.09559417,arrival
2025-03-15,N757AF,Donald Trump,PIK,Prestwick Airport,0.0,0.0,departure
2025-03-15,N757AF,Donald Trump,BGR,Bangor International,44.80744444,-68.82813889,arrival
2025-03-14,N757AF,Donald Trump,EDI,Edinburgh Airport,0.0,0.0,departure
2025-03-14,N757AF,Donald Trump,PIK,Prestwick Airport,0.0,0.0,arrival
2025-03-13,N757AF,Donald Trump,YGR,Iles De La Madeleine Airport,0.0,0.0,departure
2025-03-13,N757AF,Donald Trump,EDI,Edinburgh Airport,0.0,0.0,arrival
2025-03-13,N757AF,Donald Trump,JAX,Jacksonville International,30.49405556,-81.68786111,departure
2025-03-13,N757AF,Donald Trump,YGR,Iles De La Madeleine Airport,0.0,0.0,arrival
2025-03-12,N757AF,Donald Trump,PBI,Palm Beach International,26.68316194,-80.09559417,departure
2025-03-12,N757AF,Donald Trump,JAX,Jacksonville International,30.49405556,-81.68786111,arrival
2025-03-05,N757AF,Donald Trump,DCA,Ronald Reagan Washington National,38.85208333,-77.03772222,departure
2025-03-05,N757AF,Donald Trump,PBI,Palm Beach International,26.68316194,-80.09559417,arrival
2025-03-04,N757AF,Donald Trump,PBI,Palm Beach International,26.68316194,-80.09559417,departure
2025-03-04,N757AF,Donald Trump,DCA,Ronald Reagan Washington National,38.85208333,-77.03772222,arrival
2025-02-21,N757AF,Donald Trump,GVT,Majors,33.06783889,-96.0653325,departure
2025-02-21,N757AF,Donald Trump,PBI,Palm Beach International,26.68316194,-80.09559417,arrival
